,workerid,response
0,831,"{""other"": ""N/A"", ""errors"": ""No"", ""length"": ""I would have done more, it was quite fun."", ""interface"": ""No"", ""understand"": ""No everything was clear.""}"
1,842,"{""other"": ""This was quite fun!"", ""errors"": ""No."", ""length"": ""The task length was about right. I suspect people will want longer and shorter versions to suit themselves. "", ""interface"": ""No."", ""understand"": ""The instructions were clear""}"
2,836,"{""other"": ""great study, had fun. no issues, thank you so much."", ""errors"": ""no issues!"", ""length"": ""no it was great, felt like a decent amount of trials and was compatible with the bonus"", ""interface"": ""none."", ""understand"": ""yes very clear had no issues.""}"
3,859,"{""other"": ""non"", ""errors"": ""no"", ""length"": ""the length was okay"", ""interface"": ""no"", ""understand"": ""it was clear""}"
4,818,"{""other"": ""Nope"", ""errors"": ""Nope"", ""length"": ""Longer would be fun"", ""interface"": ""Is alright"", ""understand"": ""Some were very clear, others were weird or confusing.""}"
5,864,"{""other"": ""very engaging and fun experiment"", ""errors"": ""no"", ""length"": ""it was just about right"", ""interface"": ""no"", ""understand"": ""yes they were very clear and nothing was confusing""}"
6,863,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""a tad shorter"", ""interface"": ""it was fine"", ""understand"": ""clear and not confusing""}"
7,845,"{""other"": ""Interesting and unique study because other people gave description."", ""errors"": ""No."", ""length"": ""Managable. i think 60 images is enough, maybe even a little bit too much for some people."", ""interface"": ""I got confused a few times after clicking on image, I didn't realise that the text had changed. So maybe bigger text would be good or something to notify of next text."", ""understand"": ""Yes it was clear.""}"
8,823,"{""other"": ""Enjoyable study. Thank you."", ""errors"": ""No issues at all."", ""length"": ""Task was a really good length."", ""interface"": ""Not at all. Everything was easy to read, placed accordingly."", ""understand"": ""Most of them were quite clear and decisive with their answers. Whereas some, didn't really make sense.""}"
9,814,"{""other"": """", ""errors"": ""Nop."", ""length"": ""It could be a bit shorter for this amount of money."", ""interface"": ""Nope"", ""understand"": ""Yes they were clear""}"
10,824,"{""other"": ""No."", ""errors"": ""No."", ""length"": ""The length was appropriate for the payment, considering the added paying per correct image."", ""interface"": ""No."", ""understand"": ""Yes it was clear.""}"
11,855,"{""other"": ""no"", ""errors"": ""just one minor spelling error"", ""length"": ""quite long"", ""interface"": ""no"", ""understand"": ""yes the instructions were very clear""}"
12,837,"{""other"": ""interesting study"", ""errors"": ""no"", ""length"": ""enough time."", ""interface"": ""no"", ""understand"": ""all ok""}"
13,843,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""the right length"", ""interface"": ""no"", ""understand"": ""yes, all clear""}"
14,865,"{""other"": """", ""errors"": ""no "", ""length"": ""took a bit but wasnt too bad"", ""interface"": ""none"", ""understand"": ""nothing, it was interesting to decipher the descriptions. ""}"
15,840,"{""other"": """", ""errors"": ""no"", ""length"": ""shorter task"", ""interface"": ""no it was fine"", ""understand"": ""no it was clears""}"
16,819,"{""other"": """", ""errors"": ""no"", ""length"": ""more items, longer task"", ""interface"": ""no"", ""understand"": ""yes""}"
17,841,"{""other"": """", ""errors"": ""I did not encounter any problems or errors."", ""length"": ""I think the task length was fine, I probably spent more time than I needed to, but it was enjoyable."", ""interface"": ""No, I think the interface was clear and easy to use."", ""understand"": ""Yes, the instructions were clear, and I didn't find anything confusing.""}"
18,862,"{""other"": """", ""errors"": ""No, all good."", ""length"": ""It was perfect. Not too long or too short."", ""interface"": ""All was good."", ""understand"": ""All was clear.""}"
19,811,"{""other"": """", ""errors"": ""No"", ""length"": ""It was good"", ""interface"": ""No"", ""understand"": ""No""}"
20,817,"{""other"": ""None"", ""errors"": ""No, there were none."", ""length"": ""I would've preferred fewer items."", ""interface"": ""No"", ""understand"": ""Instructions were clear""}"
21,828,"{""other"": ""none"", ""errors"": ""none"", ""length"": ""Just about right."", ""interface"": ""unsure"", ""understand"": ""yes. No.""}"
22,844,"{""other"": ""Thank you for letting me take part."", ""errors"": ""Nope"", ""length"": ""The length was good i would have been able to do more it was enjoyable for very good pay including bonuses"", ""interface"": ""It was all perfect for me"", ""understand"": ""It was clear nothing was confusing""}"
23,852,"{""other"": """", ""errors"": """", ""length"": ""It was the perfect length."", ""interface"": """", ""understand"": ""Yes, they were clear.""}"
24,869,"{""other"": """", ""errors"": ""none"", ""length"": ""totally ok with length, would of even done a few more to make it longer"", ""interface"": ""none"", ""understand"": ""yes was fun""}"
25,833,"{""other"": ""No."", ""errors"": ""None."", ""length"": ""Length was good."", ""interface"": ""No."", ""understand"": ""It was all clear.""}"
26,829,"{""other"": ""n/a"", ""errors"": ""n/a"", ""length"": ""Task was the perfect length"", ""interface"": ""No, it was great"", ""understand"": ""They were clear""}"
27,839,"{""other"": ""No"", ""errors"": ""Not really, except some people's responses were not very helpful"", ""length"": ""The length was good, couldve even been longer"", ""interface"": ""No, it was good"", ""understand"": ""The task was very clear""}"
28,815,"{""other"": ""Great study! "", ""errors"": ""I experienced no problems or errors with the experiment."", ""length"": ""The task length was perfect! If anything, I wouldn't have minded it to be a little longer because the task was a lot of fun and engaging."", ""interface"": ""Making the text a bit bigger."", ""understand"": ""The instructions were very clear and nothing was confusing to me.""}"
29,868,"{""other"": """", ""errors"": ""no"", ""length"": ""it was good"", ""interface"": ""no"", ""understand"": ""yes. it was claer  \nsome explanations were hard""}"
30,838,"{""other"": ""No."", ""errors"": ""No. None."", ""length"": ""Task length was good."", ""interface"": ""Everything worked well."", ""understand"": ""Yes the instructions were clear but some of the descriptions were difficult.""}"
31,822,"{""other"": ""There were some descriptions, only one or two, that were so short or non-specific that they felt almost like random chance selections. Otherwise, I found the task quite interesting and seeing if my perception matched the description. Additionally, having a visibly accumulating bonus made it feel almost 'game' like which made the task even more enjoyable. "", ""errors"": ""There were no errors or problems. "", ""length"": ""I found the task length was very acceptable. I actually found the task quite interesting and would have been happy to have continued with it for longer. "", ""interface"": ""The interface was simple to use."", ""understand"": ""The instructions were very clear and straightforward to follow. ""}"
32,854,"{""other"": ""no"", ""errors"": ""No problems"", ""length"": ""It was just right"", ""interface"": ""I liked the size of the text as it is"", ""understand"": ""Everything was clear ""}"
33,846,"{""other"": """", ""errors"": ""None"", ""length"": ""Good fun so did not mind"", ""interface"": ""No all ok"", ""understand"": ""Yes instructions were fine for the study""}"
34,827,"{""other"": ""i had fun, thanks"", ""errors"": ""no problems"", ""length"": ""was a good time"", ""interface"": ""i think was good"", ""understand"": ""Yes""}"
35,870,"{""other"": """", ""errors"": ""No"", ""length"": ""It was okay"", ""interface"": ""Not that I can think of"", ""understand"": ""No, the instructions were clear""}"
36,867,"{""other"": """", ""errors"": ""no"", ""length"": ""maybe fewer items"", ""interface"": ""I would like to see the right answer"", ""understand"": ""The instructions were absolutely fine""}"
37,816,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""it was ok. longer task. It was interesting"", ""interface"": ""no"", ""understand"": ""yes. no""}"
38,820,"{""other"": """", ""errors"": ""No"", ""length"": ""It was a good length for the pay"", ""interface"": ""No"", ""understand"": ""Everything was clear""}"
39,866,"{""other"": ""no"", ""errors"": ""none"", ""length"": ""fine"", ""interface"": ""n/a"", ""understand"": ""clear""}"
40,821,"{""other"": """", ""errors"": """", ""length"": """", ""interface"": """", ""understand"": """"}"
41,835,"{""other"": """", ""errors"": ""N/A"", ""length"": ""I didn't mind the length of the task."", ""interface"": ""N/A"", ""understand"": ""Task was really clear and fun to do.""}"
42,830,"{""other"": ""none"", ""errors"": ""no"", ""length"": ""a bit long"", ""interface"": ""shorter overall time"", ""understand"": ""all good""}"
43,858,"{""other"": """", ""errors"": ""None"", ""length"": ""About right"", ""interface"": """", ""understand"": ""Instruction were clear""}"
44,856,"{""other"": """", ""errors"": """", ""length"": ""I preferred short to medium length descriptions."", ""interface"": """", ""understand"": ""It was clear but sometimes I thought of something else as the solution.""}"
45,826,"{""other"": """", ""errors"": ""none"", ""length"": ""length was ok"", ""interface"": ""na"", ""understand"": ""nothing confusing""}"
46,847,"{""other"": """", ""errors"": ""nope"", ""length"": ""If it wasn't remunered the time was good but it won't bother me if it's longer"", ""interface"": ""no"", ""understand"": ""They dont know the difference between diamond and a square""}"
47,813,"{""other"": """", ""errors"": ""no"", ""length"": ""It was perfect \n"", ""interface"": ""no everything ok"", ""understand"": ""some of them were clear but other didnt \n""}"
48,832,"{""other"": """", ""errors"": ""no"", ""length"": ""it's ok"", ""interface"": """", ""understand"": ""some were clear""}"
49,857,"{""other"": ""Some of the descriptions were impossible to guess"", ""errors"": ""No"", ""length"": ""Fewer items"", ""interface"": ""No"", ""understand"": ""Yes""}"
50,848,"{""other"": ""This research is fun, I enjoyed it."", ""errors"": ""No. "", ""length"": ""I wouldn't mind more prompts. "", ""interface"": ""No, it's pretty simple and easy to use. "", ""understand"": ""No, it was clear what I was supposed to do. ""}"
51,849,"{""other"": ""the study was really fun to complete, thank you."", ""errors"": ""n/a"", ""length"": ""i would of been happy to do 100 tasks, i really enjoyed the study."", ""interface"": ""n/a"", ""understand"": ""the instructions were clear, no there was nothing confusing.""}"
52,825,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""it was fun"", ""interface"": ""no"", ""understand"": ""it was clear""}"
53,812,"{""other"": """", ""errors"": ""Not at all"", ""length"": ""No, i think task length is fine and helps to give you guys more data."", ""interface"": """", ""understand"": ""No instructions were clear.""}"
54,834,"{""other"": ""no"", ""errors"": ""No."", ""length"": ""The task length was a bit long. 30 trials would have been perfect."", ""interface"": ""no"", ""understand"": ""Most of them were clear. Some of them were not clear and difficult to understand.""}"
55,850,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""i think it was ok"", ""interface"": ""no"", ""understand"": ""yes they were clear""}"
56,851,"{""other"": ""No"", ""errors"": ""No"", ""length"": ""Task length was fine."", ""interface"": ""N/A"", ""understand"": ""It was clear - nothing confusing.""}"
57,853,"{""other"": ""No"", ""errors"": ""No"", ""length"": ""I enjoyed doing the task so would have been happy for it to be longer."", ""interface"": ""No"", ""understand"": ""The task itself was clear although I found some of the descriptions confusing.""}"
58,860,"{""other"": """", ""errors"": ""no"", ""length"": ""i think it took me around 20 mins"", ""interface"": """", ""understand"": ""Some where very confusing ""}"
59,861,"{""other"": ""No"", ""errors"": ""No"", ""length"": ""It was fine"", ""interface"": ""No"", ""understand"": ""Yes it was clear""}"
